ESTACION;NOMBRE;ANO-MES;TIPO;OPERADA;Pmensual;Panual;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
00074018;CARTAGENA;1978-07;PV;SENARA;182,5;;0;45;2,5;30,5;0;0;2,5;6,5;0;0;0;43;2,5;9;-8;16,5;10;17;1,5;0;0;0;0;0;0;0;4;0;0;0;0
00074018;CARTAGENA;1978-08;PV;SENARA;295,5;;0;1;0;20;0;1;41,5;10;0;0;0;0;0;0;0;30,5;0;11;0;0;0;0;3;2;28;-8;84;4;57;6,5;4
00074018;CARTAGENA;1978-09;PV;SENARA;294,5;;15;-8;53;2;3,5;10;7;0;0;6;12;13;40,5;0;0;0;0;55;0;0;26,5;1;37;0;0;0;8;0,5;3,5;9;0
00074018;CARTAGENA;1978-10;PV;SENARA;384;;0;0;0;0;0;8,5;0;5;0;0;-8;62,5;1,5;-8;46;17;34;0;9,5;23;-8;62,5;85,5;12;0;1;15,5;24,5;0;0;0
00074018;CARTAGENA;1978-11;PV;SENARA;37;;0;0;5;0;0;1;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1978-12;PV;SENARA;64,5;2005;0;0;0;3;2;20,5;0;11;7,5;0;19,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1979-01;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1979-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1979-03;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1979-04;PV;SENARA;82;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;4;2,5;24,5;0;0;19;16;0;0
